2025-09-27 15:37:45,812 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
 1.00000000e+06 6.46007163e+05], 计算结果: 512.2900160716005
2025-09-27 15:59:21,530 - 输入参数: [4.99867495e+04 7.52117227e+04 4.44856623e+01 0.00000000e+00
 5.70181294e+05 0.00000000e+00], 计算结果: 2638.76627157057
2025-09-27 15:59:37,465 - 输入参数: [9.64722247e+04 1.00000000e+05 1.00000000e+03 9.95121791e+02
 1.00000000e+06 0.00000000e+00], 计算结果: 2768.099536146326
2025-09-27 15:59:43,335 - 输入参数: [ 91414.19367744      0.              0.              0.
 682719.18209713  30154.47794316], 计算结果: 778.6479927812867
2025-09-27 15:59:57,536 - 输入参数: [4.97555485e+04 0.00000000e+00 9.26075806e+02 2.82922103e+02
 1.00000000e+06 0.00000000e+00], 计算结果: 12585.174244648535
2025-09-27 16:00:12,969 - 输入参数: [68078.31194657 96284.09647786   256.30069826  1000.
     0.             0.        ], 计算结果: 7403.755195082196
2025-09-27 16:00:26,334 - 输入参数: [5.04841016e+04 0.00000000e+00 1.00000000e+03 1.14019205e+02
 1.00000000e+06 0.00000000e+00], 计算结果: 9212.96423277151
2025-09-27 16:00:41,778 - 输入参数: [ 80469.92537805  12485.90095925      0.            893.85086215
 447074.91681578      0.        ], 计算结果: 10059.690313056675
2025-09-27 16:00:52,797 - 输入参数: [     0.        100000.          1000.             0.
      0.         78181.3390236], 计算结果: 116040.9288643687
2025-09-27 16:01:08,931 - 输入参数: [1.00000000e+05 5.39333660e+04 3.52186575e+01 0.00000000e+00
 0.00000000e+00 8.56632475e+05], 计算结果: 2058.285456673757
2025-09-27 16:01:22,312 - 输入参数: [2.00359293e+04 9.84178744e+03 1.00000000e+03 1.61783978e+02
 9.15160527e+05 8.12754064e+05], 计算结果: 692.2846422304519
2025-09-27 16:01:35,954 - 输入参数: [7.56707666e+04 8.00444112e+04 0.00000000e+00 4.19921214e+02
 1.00000000e+06 8.74671152e+05], 计算结果: 481.67687792060167
2025-09-27 16:01:51,788 - 输入参数: [0.00000000e+00 1.00000000e+05 1.00000000e+03 2.79642746e+01
 1.00000000e+06 0.00000000e+00], 计算结果: 2397.92928906848
2025-09-27 16:02:07,695 - 输入参数: [6.41086869e+04 1.00000000e+05 1.00000000e+03 4.41746527e+01
 0.00000000e+00 7.74098844e+05], 计算结果: 3349.8261216028914
2025-09-27 16:02:15,497 - 输入参数: [1.07323503e+04 5.41135148e+04 0.00000000e+00 7.86819833e+02
 1.24889486e+05 1.00000000e+06], 计算结果: 495.00123560631323
2025-09-27 16:02:31,367 - 输入参数: [9.12704428e+04 8.66966170e+04 1.58740907e+02 4.61183056e+02
 0.00000000e+00 1.00000000e+06], 计算结果: 2295.4839510528195
